,title,cast,director,keywords,genres,fea
0,Avatar,"['samworthington', 'zoesaldana', 'sigourneyweaver', 'stephenlang', 'michellerodriguez']",jamescameron,"['cultureclash', 'future', 'spacewar', 'spacecolony', 'society']","['action', 'adventure', 'fantasy', 'sciencefiction']",cultureclash future spacewar spacecolony society samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez jamescameron action adventure fantasy sciencefiction
1,Pirates of the Caribbean: At World's End,"['johnnydepp', 'orlandobloom', 'keiraknightley', 'stellanskarsgård', 'chowyun-fat']",goreverbinski,"['ocean', 'drugabuse', 'exoticisland', 'eastindiatradingcompany', ""loveofone'slife""]","['adventure', 'fantasy', 'action']",ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife johnnydepp orlandobloom keiraknightley stellanskarsgård chowyun-fat goreverbinski adventure fantasy action
2,Spectre,"['danielcraig', 'christophwaltz', 'léaseydoux', 'ralphfiennes', 'monicabellucci']",sammendes,"['spy', 'basedonnovel', 'secretagent', 'sequel', 'mi6']","['action', 'adventure', 'crime']",spy basedonnovel secretagent sequel mi6 danielcraig christophwaltz léaseydoux ralphfiennes monicabellucci sammendes action adventure crime
3,The Dark Knight Rises,"['christianbale', 'michaelcaine', 'garyoldman', 'annehathaway', 'tomhardy']",christophernolan,"['dccomics', 'crimefighter', 'terrorist', 'secretidentity', 'burglar']","['action', 'crime', 'drama', 'thriller']",dccomics crimefighter terrorist secretidentity burglar christianbale michaelcaine garyoldman annehathaway tomhardy christophernolan action crime drama thriller
4,John Carter,"['taylorkitsch', 'lynncollins', 'samanthamorton', 'willemdafoe', 'thomashadenchurch']",andrewstanton,"['basedonnovel', 'mars', 'medallion', 'spacetravel', 'princess']","['action', 'adventure', 'sciencefiction']",basedonnovel mars medallion spacetravel princess taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch andrewstanton action adventure sciencefiction
5,Spider-Man 3,"['tobeymaguire', 'kirstendunst', 'jamesfranco', 'thomashadenchurch', 'tophergrace']",samraimi,"['dualidentity', 'amnesia', 'sandstorm', ""loveofone'slife"", 'forgiveness']","['fantasy', 'action', 'adventure']",dualidentity amnesia sandstorm loveofone'slife forgiveness tobeymaguire kirstendunst jamesfranco thomashadenchurch tophergrace samraimi fantasy action adventure
6,Tangled,"['zacharylevi', 'mandymoore', 'donnamurphy', 'ronperlman', 'm.c.gainey']",byronhoward,"['hostage', 'magic', 'horse', 'fairytale', 'musical']","['animation', 'family']",hostage magic horse fairytale musical zacharylevi mandymoore donnamurphy ronperlman m.c.gainey byronhoward animation family
7,Avengers: Age of Ultron,"['robertdowneyjr.', 'chrishemsworth', 'markruffalo', 'chrisevans', 'scarlettjohansson']",josswhedon,"['marvelcomic', 'sequel', 'superhero', 'basedoncomicbook', 'vision']","['action', 'adventure', 'sciencefiction']",marvelcomic sequel superhero basedoncomicbook vision robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson josswhedon action adventure sciencefiction
8,Harry Potter and the Half-Blood Prince,"['danielradcliffe', 'rupertgrint', 'emmawatson', 'tomfelton', 'michaelgambon']",davidyates,"['witch', 'magic', 'broom', 'schoolofwitchcraft', 'wizardry']","['adventure', 'fantasy', 'family']",witch magic broom schoolofwitchcraft wizardry danielradcliffe rupertgrint emmawatson tomfelton michaelgambon davidyates adventure fantasy family
9,Batman v Superman: Dawn of Justice,"['benaffleck', 'henrycavill', 'galgadot', 'amyadams', 'jesseeisenberg']",zacksnyder,"['dccomics', 'vigilante', 'superhero', 'basedoncomicbook', 'revenge']","['action', 'adventure', 'fantasy']",dccomics vigilante superhero basedoncomicbook revenge benaffleck henrycavill galgadot amyadams jesseeisenberg zacksnyder action adventure fantasy
